newspaper_event_id,short_description,newspaper_text,activation_boolean,follow_newspaper_id,follow_newspaper_time_break,probability,typ,spezial_date
3,Maschinenstürmer greifen Weberei in Leeds an,"In der vergangenen Nacht wurde die Weberei Brown & Sons Ziel eines wütenden Mobs. Die Maschinenstürmer protestierten gegen die Einführung neuer Maschinen, die ihrer Meinung nach die Arbeitsplätze der Textilarbeiter bedrohten. Der Angriff führte zu schweren Schäden an den Maschinen, doch es gab keine Berichte über Verletzte. Die Polizei konnte die Situation nicht schnell genug unter Kontrolle bringen, da die Demonstranten in großer Zahl auftraten. Weitere Ausschreitungen werden befürchtet.",True,4.0,3.0,3.0,Demonstrationen,12.04
4,Prozess gegen Maschinenstürmer beginnt,"Heute begann in Leeds der Prozess gegen die fünf festgenommenen Maschinenstürmer. Die Angeklagten stehen unter Anklage wegen Sachbeschädigung und Aufruhr. Ihre Verteidiger argumentieren, dass die Proteste als Ausdruck des Widerstandes gegen die Ausbeutung der Arbeiterklasse zu werten sind. Die Staatsanwaltschaft hingegen betont die Schwere der Schäden und die Gefährdung der öffentlichen Ordnung. Das Urteil wird in den kommenden Wochen erwartet.",False,,,0.0,Demonstrationen,15.04
5,Eröffnung der neuen Eisenbahnstrecke Manchester-Liverpool,"Mit großem Jubel wurde heute die neue Eisenbahnverbindung zwischen Manchester und Liverpool eingeweiht. Der Zug fährt in rekordverdächtiger Geschwindigkeit und soll die wirtschaftliche Verbindung zwischen den beiden Städten erheblich verbessern. Die Eröffnung wurde von zahlreichen Persönlichkeiten des öffentlichen Lebens begleitet, die die Bedeutung dieses Projekts für die Region betonten. Es wird erwartet, dass die Strecke nicht nur den Handel, sondern auch den Tourismus ankurbeln wird.",True,,,3.0,Wirtschaft,01.05
6,Skandal auf Ball der Londoner Gesellschaft,"Der diesjährige Frühlingsball im Herrenhaus von Lord Kensington endete mit einem Skandal. Während der Feierlichkeiten wurde eine verbotene Liebesaffäre zwischen einem verheirateten Politiker und einer prominenten Gesellschaftsdame enthüllt. Der Vorfall sorgte für Aufregung in den Kreisen der Londoner Oberschicht und löste eine öffentliche Diskussion über Moral und den Druck, der auf den Eliteangehörigen lastet, aus. Der betroffene Politiker hat sich bisher nicht öffentlich zu den Vorwürfen geäußert.",False,,,2.0,Gesellschaft,10.05
7,Jahrmarkt in York lockt tausende Besucher,"Der traditionelle Jahrmarkt in York eröffnete gestern seine Pforten und lockte bereits am ersten Tag eine beeindruckende Menge an Besuchern an. Die zahlreichen Stände, Fahrgeschäfte und Unterhaltungseinrichtungen sorgten für eine festliche Atmosphäre. Die lokalen Händler berichteten von einem Anstieg der Verkäufe und einer generell positiven Stimmung in der Stadt. Der Jahrmarkt wird voraussichtlich noch eine weitere Woche geöffnet bleiben und gilt als eines der wichtigsten jährlichen Ereignisse in York.",True,,,3.0,Veranstaltung,20.06
9,Geheimbund in London entdeckt,"Die Polizei hat in einem Lagerhaus nahe dem Hafen eine geheime Versammlung eines bislang unbekannten Geheimbundes aufgelöst. Der Geheimbund, dessen Mitglieder sich gegen die Obrigkeit aussprachen, hatte bereits Pläne für mehrere Aktionen gegen die Regierung in Vorbereitung. Bei der Durchsuchung wurden Dokumente und Waffen sichergestellt. Der Fall hat für Aufsehen gesorgt und viele spekulieren, dass auch hochrangige Persönlichkeiten in den Bund verwickelt sein könnten.",True,,,3.0,Infos um die Königsfamilie,05.07
10,Explosion erschüttert Chemiefabrik,"Ein schweres Unglück ereignete sich in einer Chemiefabrik in Birmingham. Bei einer Explosion wurden mehrere Gebäude zerstört, und es gab zahlreiche Verletzte. Die Ursache des Unglücks ist derzeit noch unklar, jedoch wird ein technischer Defekt als mögliche Ursache vermutet. Rettungsteams arbeiten mit Hochdruck an der Bergung von Überlebenden, während die Feuerwehr die brennenden Ruinen löscht. Der Vorfall hat auch Bedenken hinsichtlich der Sicherheitsvorkehrungen in der chemischen Industrie aufgeworfen.",True,,,3.0,Wirtschaft,22.07
12,Unruhen auf dem Marktplatz von Edinburgh,"Wütende Händler lieferten sich eine Auseinandersetzung mit städtischen Beamten, nachdem neue Handelsabgaben angekündigt wurden. Die Proteste eskalierten schnell, und es kam zu gewaltsamen Auseinandersetzungen. Die Polizei musste einschreiten, um die Unruhen zu beenden. Mehrere Festnahmen wurden vorgenommen, und es gab Berichte über Verletzte. Die Stadtverwaltung hat angekündigt, die Situation zu überprüfen und mögliche Änderungen der Abgabenstruktur in Erwägung zu ziehen.",True,13.0,2.0,3.0,Demonstrationen,02.08
13,Stadtverwaltung lenkt nach Protesten ein,"Nach den heftigen Protesten auf dem Marktplatz von Edinburgh hat die Stadtverwaltung angekündigt, die neuen Handelsabgaben zu überarbeiten. Es wird erwartet, dass die Regierung in den kommenden Tagen eine Erklärung abgibt, wie sie den Forderungen der Händler entgegenkommen wird. Der Stadtrat betonte, dass die Situation schnell gelöst werden muss, um weitere Unruhen zu vermeiden. Der Rückzug der neuen Abgaben gilt als ein erster Schritt zur Beruhigung der Lage.",False,,,0.0,Demonstrationen,05.08
14,Königin Victoria besucht die Royal Navy,In einer feierlichen Zeremonie inspizierte Königin Victoria die neueste Flotte der Royal Navy. Während ihres Besuchs sprach sie mit mehreren Admiralen und Offizieren über die aktuellen Herausforderungen der Marine. Die Königin lobte die hervorragende Arbeit der Navy und betonte ihre Bedeutung für die nationale Sicherheit. Der Besuch gilt als ein symbolischer Akt der Unterstützung für die Streitkräfte des Vereinigten Königreichs.,False,,,3.0,Infos um die Königsfamilie,15.08
