description,branche,impact,change
Neue Fabriken eröffnet,industrie,very positive,20
Produktionsengpass aufgrund von Maschinenausfällen,industrie,negative,-10
Patentstreit um mechanische Spinnmaschine,industrie,very negative,-15
Neue Dampfmaschine in England eingeführt,industrie,very positive,30
Probleme mit Rohstofflieferanten,industrie,negative,-10
Erfindung einer neuen Webmaschine,industrie,very positive,25
Maschinen müssen gewartet werden,industrie,negative,-5
Arbeiterstreik in der Textilfabrik,industrie,very negative,-20
Stahl wird aus Deutschland geliefert,industrie,positive,15
Kohle wird billiger,industrie,positive,15
Subventionen von der Regierung für neue Maschinen,industrie,positive,15
Neue Fabriken wurden angekündigt,industrie,positive,10
Partnerschaft mit einem Rohstofflieferanten,industrie,positive,5
Fusion mit einer anderen Textilfabrik,industrie,very positive,35
Mehr Zufuhr an Rohstoffen aus Kolonien,industrie,very positive,30
Probleme mit Transportwegen,industrie,negative,-10
Produktionskosten steigen durch steigende Rohstoffpreise,industrie,negative,-15
Erfindung der Arbeitshandschuhe,industrie,very positive,15
Erhöhung der Löhne für Arbeiter,industrie,negative,-5
Neue Maschinen zur Textilproduktion,industrie,very positive,25
Expansion ins Ausland in europäische Märkte,industrie,positive,10
Rückruf von fehlerhaften Maschinen,industrie,very negative,-25
Verbesserung der Arbeitsqualität,industrie,positive,15
Giftige Dämpfe legen das Staatskohlekraftwerk lahm,industrie,very negative,-25
Nachfrage nach Textilien steigt,konsumgueter,very positive,20
Neue Gesundheitsvorschriften für Lebensmittelproduktion,konsumgueter,negative,-5
Werbung für neue Produktlinien gestartet,konsumgueter,positive,15
Verlust von Marktanteilen im Textilsektor,konsumgueter,very negative,-15
Erfolgreicher Launch einer neuen Textilkollektion,konsumgueter,very positive,25
Verbraucher boykottieren Fabrikprodukte,konsumgueter,very negative,-20
Preissteigerung bei Stoffen,konsumgueter,negative,-10
Neue Vertriebskanäle für Textilprodukte,konsumgueter,positive,20
Boom der Nachfrage durch industrielle Revolution im Nahrungsmittelsektor,konsumgueter,very positive,30
Fusion mit einer großen Einzelhandelskette,konsumgueter,very positive,25
